Date,Open,High,Low,Close,Adj Close,Volume
2015-02-13,2379.409912,2394.360107,2379.189941,2394.360107,2394.360107,0
2015-02-17,2390.800049,2395.040039,2380.580078,2394.760010,2394.760010,0
2015-02-18,2382.810059,2392.520020,2376.110107,2387.709961,2387.709961,0
2015-02-19,2385.459961,2400.659912,2383.010010,2398.969971,2398.969971,0
2015-02-20,2394.550049,2419.020020,2388.889893,2417.899902,2417.899902,0
2015-02-23,2415.360107,2415.479980,2395.959961,2403.949951,2403.949951,0
2015-02-24,2397.979980,2415.899902,2388.830078,2414.449951,2414.449951,0
2015-02-25,2410.550049,2415.550049,2400.790039,2406.320068,2406.320068,0
2015-02-26,2418.270020,2427.540039,2407.360107,2417.679932,2417.679932,0
2015-02-27,2417.489990,2425.260010,2410.510010,2411.989990,2411.989990,0
2015-03-02,2426.340088,2450.270020,2423.570068,2450.270020,2450.270020,0
2015-03-03,2435.570068,2436.649902,2405.899902,2409.770020,2409.770020,0
2015-03-04,2399.340088,2407.310059,2383.290039,2405.290039,2405.290039,0
2015-03-05,2409.989990,2420.530029,2403.050049,2416.270020,2416.270020,0
2015-03-06,2407.270020,2411.850098,2378.840088,2383.280029,2383.280029,0
2015-03-09,2385.419922,2394.139893,2380.540039,2389.560059,2389.560059,0
2015-03-10,2369.979980,2374.070068,2345.510010,2345.510010,2345.510010,0
2015-03-11,2350.239990,2360.370117,2339.290039,2341.030029,2341.030029,0
2015-03-12,2327.310059,2353.330078,2327.120117,2352.489990,2352.489990,0
2015-03-13,2351.030029,2358.820068,2332.110107,2350.330078,2350.330078,0
2015-03-16,2364.139893,2385.590088,2362.560059,2384.350098,2384.350098,0
2015-03-17,2370.919922,2381.050049,2364.030029,2376.419922,2376.419922,0
2015-03-18,2368.510010,2412.050049,2355.790039,2400.889893,2400.889893,0
2015-03-19,2401.000000,2413.030029,2397.520020,2407.729980,2407.729980,0
2015-03-20,2426.580078,2438.290039,2419.280029,2431.810059,2431.810059,0
2015-03-23,2430.199951,2431.370117,2418.340088,2418.340088,2418.340088,0
2015-03-24,2418.080078,2422.959961,2401.830078,2401.919922,2401.919922,0
2015-03-25,2400.010010,2400.750000,2320.219971,2321.080078,2321.080078,0
2015-03-26,2279.860107,2317.110107,2272.729980,2304.000000,2304.000000,0
2015-03-27,2305.250000,2346.189941,2296.030029,2340.350098,2340.350098,0
2015-03-30,2370.590088,2380.989990,2359.500000,2378.889893,2378.889893,0
2015-03-31,2364.149902,2369.479980,2351.729980,2352.360107,2352.360107,0
2015-04-01,2342.760010,2349.030029,2325.899902,2342.709961,2342.709961,0
2015-04-02,2342.820068,2356.379883,2337.760010,2342.560059,2342.560059,0
2015-04-06,2319.139893,2359.260010,2316.239990,2355.060059,2355.060059,0
2015-04-07,2353.280029,2372.520020,2352.879883,2354.050049,2354.050049,0
2015-04-08,2353.500000,2377.760010,2353.189941,2372.969971,2372.969971,0
2015-04-09,2365.540039,2394.719971,2364.139893,2393.449951,2393.449951,0
2015-04-10,2387.620117,2405.429932,2386.780029,2405.189941,2405.189941,0
2015-04-13,2404.179932,2413.429932,2387.120117,2388.120117,2388.120117,0
2015-04-14,2387.709961,2391.649902,2368.570068,2380.409912,2380.409912,0
2015-04-15,2389.750000,2413.520020,2389.709961,2406.370117,2406.370117,0
2015-04-16,2390.070068,2401.020020,2388.699951,2398.379883,2398.379883,0
2015-04-17,2375.889893,2379.409912,2359.189941,2366.250000,2366.250000,0
2015-04-20,2378.229980,2400.739990,2377.899902,2394.459961,2394.459961,0
2015-04-21,2420.550049,2425.020020,2402.139893,2407.739990,2407.739990,0
2015-04-22,2417.889893,2429.530029,2401.909912,2427.199951,2427.199951,0
2015-04-23,2403.199951,2430.169922,2402.810059,2418.659912,2418.659912,0
2015-04-24,2423.689941,2423.689941,2403.560059,2409.600098,2409.600098,0
2015-04-27,2411.179932,2426.570068,2404.110107,2408.550049,2408.550049,0
2015-04-28,2409.080078,2420.250000,2390.219971,2414.179932,2414.179932,0
2015-04-29,2391.290039,2408.199951,2381.179932,2398.840088,2398.840088,0
2015-04-30,2386.050049,2395.699951,2358.600098,2370.219971,2370.219971,0
2015-05-01,2387.479980,2412.310059,2386.590088,2409.840088,2409.840088,0
2015-05-04,2413.629883,2420.550049,2409.090088,2410.850098,2410.850098,0
2015-05-05,2397.560059,2400.300049,2364.570068,2368.500000,2368.500000,0
2015-05-06,2374.469971,2380.919922,2341.290039,2356.290039,2356.290039,0
2015-05-07,2362.760010,2378.530029,2359.330078,2373.689941,2373.689941,0
2015-05-08,2387.020020,2400.760010,2385.909912,2394.229980,2394.229980,0
2015-05-11,2389.770020,2397.729980,2386.719971,2387.699951,2387.699951,0
2015-05-12,2376.629883,2384.389893,2356.909912,2372.919922,2372.919922,0
2015-05-13,2377.919922,2396.340088,2377.729980,2385.790039,2385.790039,0
2015-05-14,2402.620117,2423.010010,2401.340088,2420.229980,2420.229980,0
2015-05-15,2424.050049,2429.909912,2409.310059,2412.260010,2412.260010,0
2015-05-18,2414.090088,2427.939941,2407.389893,2425.360107,2425.360107,0
2015-05-19,2428.860107,2433.350098,2410.770020,2412.820068,2412.820068,0
2015-05-20,2415.250000,2432.419922,2411.389893,2416.379883,2416.379883,0
2015-05-21,2407.419922,2425.709961,2402.219971,2421.409912,2421.409912,0
2015-05-22,2420.620117,2435.449951,2420.620117,2427.449951,2427.449951,0
2015-05-26,2420.489990,2421.110107,2389.310059,2399.010010,2399.010010,0
2015-05-27,2403.540039,2461.399902,2400.800049,2456.229980,2456.229980,0
2015-05-28,2455.429932,2467.479980,2450.479980,2458.679932,2458.679932,0
2015-05-29,2461.679932,2468.149902,2443.330078,2449.370117,2449.370117,0
2015-06-01,2464.060059,2466.669922,2444.010010,2460.120117,2460.120117,0
2015-06-02,2451.379883,2460.149902,2440.459961,2448.219971,2448.219971,0
2015-06-03,2458.729980,2463.679932,2444.850098,2446.510010,2446.510010,0
2015-06-04,2435.510010,2445.050049,2419.300049,2424.850098,2424.850098,0
2015-06-05,2421.639893,2431.989990,2407.389893,2426.429932,2426.429932,0
2015-06-08,2425.260010,2426.020020,2386.969971,2391.110107,2391.110107,0
2015-06-09,2386.540039,2391.080078,2368.229980,2384.790039,2384.790039,0
2015-06-10,2396.840088,2424.320068,2393.739990,2418.520020,2418.520020,0
2015-06-11,2427.800049,2430.870117,2417.310059,2419.080078,2419.080078,0
2015-06-12,2406.830078,2413.100098,2397.860107,2400.459961,2400.459961,0
2015-06-15,2377.870117,2387.469971,2366.260010,2385.129883,2385.129883,0
2015-06-16,2379.729980,2398.199951,2379.169922,2394.760010,2394.760010,0
2015-06-17,2399.409912,2407.510010,2387.080078,2399.090088,2399.090088,0
2015-06-18,2406.360107,2434.149902,2406.280029,2428.040039,2428.040039,0
2015-06-19,2431.520020,2431.550049,2410.020020,2414.770020,2414.770020,0
2015-06-22,2427.489990,2434.600098,2421.830078,2431.100098,2431.100098,0
2015-06-23,2435.760010,2436.280029,2417.699951,2423.350098,2423.350098,0
2015-06-24,2419.280029,2422.379883,2401.629883,2403.149902,2403.149902,0
2015-06-25,2410.199951,2411.489990,2390.639893,2394.830078,2394.830078,0
2015-06-26,2376.370117,2381.659912,2347.530029,2355.889893,2355.889893,0
2015-06-29,2324.250000,2339.889893,2298.120117,2299.469971,2299.469971,0
2015-06-30,2316.459961,2316.860107,2294.370117,2298.790039,2298.790039,0
2015-07-01,2318.800049,2324.909912,2300.260010,2307.600098,2307.600098,0
2015-07-02,2312.689941,2315.020020,2301.739990,2311.260010,2311.260010,0
2015-07-06,2289.000000,2308.310059,2277.429932,2286.320068,2286.320068,0
2015-07-07,2283.810059,2294.750000,2235.379883,2289.699951,2289.699951,0
2015-07-08,2267.159912,2272.439941,2246.250000,2249.939941,2249.939941,0
2015-07-09,2282.270020,2286.320068,2241.219971,2241.219971,2241.219971,0
2015-07-10,2266.280029,2273.530029,2254.080078,2266.209961,2266.209961,0
2015-07-13,2281.760010,2298.129883,2275.070068,2294.040039,2294.040039,0
2015-07-14,2304.330078,2318.590088,2302.060059,2312.030029,2312.030029,0
2015-07-15,2310.879883,2313.370117,2296.409912,2303.060059,2303.060059,0
2015-07-16,2308.590088,2309.550049,2295.340088,2309.520020,2309.520020,0
2015-07-17,2314.840088,2322.860107,2310.050049,2321.689941,2321.689941,0
2015-07-20,2325.239990,2325.429932,2312.429932,2314.050049,2314.050049,0
2015-07-21,2314.909912,2328.120117,2312.899902,2317.469971,2317.469971,0
2015-07-22,2287.010010,2299.560059,2282.689941,2294.610107,2294.610107,0
2015-07-23,2302.909912,2334.979980,2302.800049,2311.600098,2311.600098,0
2015-07-24,2317.879883,2317.959961,2276.129883,2280.629883,2280.629883,0
2015-07-27,2264.000000,2273.090088,2252.030029,2257.469971,2257.469971,0
2015-07-28,2256.500000,2286.129883,2238.229980,2279.939941,2279.939941,0
2015-07-29,2275.320068,2298.149902,2267.000000,2295.179932,2295.179932,0
2015-07-30,2295.320068,2318.320068,2287.629883,2312.179932,2312.179932,0
2015-07-31,2316.139893,2316.139893,2296.439941,2298.790039,2298.790039,0
2015-08-03,2301.300049,2304.040039,2282.399902,2297.100098,2297.100098,0
2015-08-04,2291.860107,2299.969971,2278.550049,2288.800049,2288.800049,0
2015-08-05,2301.699951,2326.260010,2301.669922,2313.840088,2313.840088,0
2015-08-06,2317.340088,2319.010010,2277.800049,2285.469971,2285.469971,0
2015-08-07,2283.360107,2295.729980,2277.070068,2293.379883,2293.379883,0
2015-08-10,2309.639893,2337.800049,2309.229980,2334.929932,2334.929932,0
2015-08-11,2316.570068,2316.610107,2281.570068,2292.689941,2292.689941,0
2015-08-12,2265.729980,2305.179932,2250.560059,2296.870117,2296.870117,0
2015-08-13,2298.000000,2303.899902,2283.209961,2283.889893,2283.889893,0
2015-08-14,2280.300049,2292.899902,2274.729980,2288.659912,2288.659912,0
2015-08-17,2276.790039,2306.199951,2269.520020,2305.489990,2305.489990,0
2015-08-18,2298.699951,2300.050049,2278.000000,2281.260010,2281.260010,0
2015-08-19,2275.600098,2282.129883,2247.600098,2258.729980,2258.729980,0
2015-08-20,2237.260010,2241.360107,2191.239990,2191.239990,2191.239990,0
2015-08-21,2158.320068,2188.520020,2122.370117,2122.370117,2122.370117,0
2015-08-24,1977.560059,2126.969971,1953.849976,2050.419922,2050.419922,0
2015-08-25,2107.000000,2118.340088,2023.109985,2023.119995,2023.119995,0
2015-08-26,2080.229980,2119.600098,2040.199951,2116.189941,2116.189941,0
2015-08-27,2145.989990,2183.280029,2135.989990,2178.750000,2178.750000,0
2015-08-28,2167.139893,2187.830078,2165.939941,2181.719971,2181.719971,0
2015-08-31,2166.699951,2186.250000,2152.689941,2168.149902,2168.149902,0
2015-09-01,2115.840088,2144.800049,2091.600098,2102.659912,2102.659912,0
2015-09-02,2136.070068,2145.290039,2106.179932,2145.219971,2145.219971,0
2015-09-03,2152.010010,2179.889893,2146.810059,2152.790039,2152.790039,0
2015-09-04,2118.979980,2138.590088,2109.840088,2118.100098,2118.100098,0
2015-09-08,2165.780029,2192.840088,2163.709961,2191.139893,2191.139893,0
2015-09-09,2209.129883,2218.139893,2156.639893,2161.580078,2161.580078,0
2015-09-10,2157.129883,2193.169922,2147.610107,2175.479980,2175.479980,0
2015-09-11,2161.310059,2181.189941,2155.939941,2181.189941,2181.189941,0
2015-09-14,2186.199951,2188.429932,2171.659912,2178.469971,2178.469971,0
2015-09-15,2184.879883,2209.540039,2181.250000,2203.080078,2203.080078,0
2015-09-16,2198.739990,2219.149902,2195.260010,2216.639893,2216.639893,0
2015-09-17,2210.800049,2234.449951,2197.219971,2200.969971,2200.969971,0
2015-09-18,2170.040039,2194.350098,2160.159912,2166.469971,2166.469971,0
2015-09-21,2174.239990,2191.560059,2158.689941,2173.360107,2173.360107,0
2015-09-22,2141.919922,2141.919922,2119.070068,2131.090088,2131.090088,0
2015-09-23,2135.810059,2141.629883,2116.340088,2122.129883,2122.129883,0
2015-09-24,2106.260010,2130.959961,2081.409912,2119.800049,2119.800049,0
2015-09-25,2140.120117,2149.389893,2103.219971,2118.399902,2118.399902,0
2015-09-28,2110.520020,2114.760010,2067.179932,2067.889893,2067.889893,0
2015-09-29,2072.260010,2095.159912,2056.489990,2070.699951,2070.699951,0
2015-09-30,2103.550049,2136.429932,2103.090088,2134.810059,2134.810059,0
2015-10-01,2136.370117,2137.080078,2090.909912,2121.320068,2121.320068,0
2015-10-02,2095.909912,2162.600098,2093.129883,2162.560059,2162.560059,0
2015-10-05,2178.260010,2214.510010,2173.760010,2206.209961,2206.209961,0
2015-10-06,2200.800049,2216.229980,2188.010010,2212.489990,2212.489990,0
2015-10-07,2225.610107,2238.419922,2194.699951,2229.870117,2229.870117,0
2015-10-08,2224.330078,2249.139893,2212.889893,2246.050049,2246.050049,0
2015-10-09,2244.479980,2255.169922,2237.899902,2253.320068,2253.320068,0
2015-10-12,2257.459961,2258.110107,2243.209961,2256.489990,2256.489990,0
2015-10-13,2241.399902,2258.669922,2234.729980,2236.209961,2236.209961,0
2015-10-14,2247.530029,2280.280029,2240.550049,2266.610107,2266.610107,0
